Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015806906.1	latexin isoform X2	lxn	RARRES1
XP_015806908.1	UPF0692 protein C19orf54 homolog	csgr06h19orf54	ACTMAP
XP_015806909.1	U1 small nuclear ribonucleoprotein A	snrpa	SNRPA
XP_015806911.1	zinc finger protein 296-like	LOC107380266	ZNF296
XP_015806912.1	CLK4-associating serine/arginine rich protein	clasrp	CLASRP
XP_015806917.1	protein fosB isoform X2	fosb	FOSB
XP_015806918.1	protein fosB isoform X3	fosb	FOSB
XP_015806919.1	protein fosB isoform X4	fosb	FOSB
XP_015806920.1	uncharacterized protein C19orf47 homolog isoform X1	csgr06h19orf47	C19orf47
XP_015806921.1	uncharacterized protein C19orf47 homolog isoform X2	csgr06h19orf47	C19orf47
XP_015806922.1	mitogen-activated protein kinase kinase kinase 10	map3k10	MAP3K10
XP_015806922.1	mitogen-activated protein kinase kinase kinase 10	map3k10	MAP3K9
XP_015806924.1	tetratricopeptide repeat protein 9B isoform X2	ttc9b	TTC9C
XP_015806924.1	tetratricopeptide repeat protein 9B isoform X2	ttc9b	TTC9B
XP_015806926.1	signal-induced proliferation-associated 1-like protein 3	sipa1l3	SIPA1L3
XP_015806927.1	ribonucleoside-diphosphate reductase large subunit	LOC107380274	RRM1
XP_015806928.1	glutaminyl-peptide cyclotransferase-like protein	qpctl	QPCTL
XP_015806930.1	homeobox protein SIX5-like	LOC107380278	SIX5
XP_015806931.1	tubulin-folding cofactor B	tbcb	TBCB
XP_015806932.1	cleft lip and palate transmembrane protein 1	clptm1	CLPTM1
XP_015806935.1	transcription factor RelB isoform X3	relb	RELB
XP_015806936.1	39S ribosomal protein L28, mitochondrial	mrpl28	MRPL28
XP_015806938.1	protein phosphatase 1 regulatory subunit 37	ppp1r37	PPP1R37
XP_015806945.1	gem-associated protein 7	gemin7	GEMIN7
XP_015806948.1	prostacyclin receptor isoform X1	ptgir	PTGIR
XP_015806948.1	prostacyclin receptor isoform X1	ptgir	PTGDR
XP_015806954.1	reticulon-3-like isoform X2	LOC107380296	RTN2
XP_015806955.1	protein sprouty homolog 1	spry1	SPRY2
XP_015806955.1	protein sprouty homolog 1	spry1	SPRY1
XP_015806958.1	ras-related protein Rab-4B	LOC107380298	RAB4B
XP_015806958.1	ras-related protein Rab-4B	LOC107380298	RAB4B-EGLN2
XP_015806959.1	AP-2 complex subunit sigma	ap2s1	AP2S1
XP_015806961.1	neuronal PAS domain-containing protein 1	npas1	NPAS1
XP_015806962.1	transmembrane protein 160	tmem160	TMEM160
XP_015806963.1	egl nine homolog 2-like	LOC107380304	EGLN2
XP_015806964.1	neutral amino acid transporter B(0)	slc1a5	SLC1A5
XP_015806965.1	fukutin-related protein	fkrp	FKRP
XP_015806967.1	striatin-4	strn4	STRN4
XP_015806968.1	serine/threonine-protein kinase D2	prkd2	PRKD1
XP_015806968.1	serine/threonine-protein kinase D2	prkd2	PRKD2
XP_015806971.1	Down syndrome cell adhesion molecule-like protein 1 homolog isoform X1	LOC107380311	DSCAML1
XP_015806974.1	transmembrane protease serine 13-like	LOC107380314	TMPRSS13
XP_015806974.1	transmembrane protease serine 13-like	LOC107380314	TMPRSS2
XP_015806974.1	transmembrane protease serine 13-like	LOC107380314	PRSS33
XP_015806976.1	FXYD domain-containing ion transport regulator 6-like isoform X2	LOC107380315	FXYD6
XP_015806977.1	FXYD domain-containing ion transport regulator 6-like isoform X3	LOC107380315	FXYD2
XP_015806977.1	FXYD domain-containing ion transport regulator 6-like isoform X3	LOC107380315	FXYD7
XP_015806977.1	FXYD domain-containing ion transport regulator 6-like isoform X3	LOC107380315	FXYD6
XP_015806980.1	transmembrane protease serine 4-like isoform X1	LOC107380318	TMPRSS2
XP_015806980.1	transmembrane protease serine 4-like isoform X1	LOC107380318	TMPRSS4
XP_015806981.1	Bardet-Biedl syndrome 12 protein	bbs12	BBS12
XP_015806982.1	transmembrane protease serine 4-like isoform X2	LOC107380318	TMPRSS4
XP_015806982.1	transmembrane protease serine 4-like isoform X2	LOC107380318	TMPRSS3
XP_015806983.1	double-strand break repair protein MRE11A	mre11a	MRE11
XP_015806984.1	centrosomal protein of 57 kDa-like isoform X1	LOC107380320	CEP57L1
XP_015806984.1	centrosomal protein of 57 kDa-like isoform X1	LOC107380320	CEP57
XP_015806985.1	centrosomal protein of 57 kDa-like isoform X2	LOC107380320	CEP57
XP_015806985.1	centrosomal protein of 57 kDa-like isoform X2	LOC107380320	CEP57L1
XP_015806987.1	dedicator of cytokinesis protein 10 isoform X2	dock10	DOCK10
XP_015806989.1	dedicator of cytokinesis protein 10 isoform X4	dock10	DOCK10
XP_015806991.1	dedicator of cytokinesis protein 10 isoform X6	dock10	DOCK10
XP_015806992.1	dedicator of cytokinesis protein 10 isoform X7	dock10	DOCK10
XP_015806993.1	dedicator of cytokinesis protein 10 isoform X8	dock10	DOCK10
XP_015806994.1	dedicator of cytokinesis protein 10 isoform X9	dock10	DOCK10
XP_015806995.1	nucleoside diphosphate-linked moiety X motif 6 isoform X1	nudt6	NUDT6
XP_015806997.1	uncharacterized protein LOC107380324	LOC107380324	CCDC195
XP_015806998.1	short stature homeobox protein 2	shox2	SHOX2
XP_015806998.1	short stature homeobox protein 2	shox2	RHOXF1
XP_015806999.1	serine/Arginine-related protein 53	rsrc1	RSRC1
XP_015807001.1	myeloid leukemia factor 1 isoform X2	mlf1	MLF1
XP_015807002.1	myeloid leukemia factor 1 isoform X3	mlf1	MLF1
XP_015807003.1	myeloid leukemia factor 1 isoform X4	mlf1	MLF1
XP_015807004.1	nucleoside diphosphate-linked moiety X motif 6 isoform X2	nudt6	NUDT6
XP_015807006.1	mediator of RNA polymerase II transcription subunit 29	med29	MED29
XP_015807007.1	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	LOC107380329	PPP2R1A
XP_015807007.1	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	LOC107380329	PPP2R1B
XP_015807008.1	serine/threonine-protein kinase SIK2	sik2	SIK3
XP_015807010.1	layilin-like isoform X2	LOC107380332	LAYN
XP_015807015.1	fibroblast growth factor 2	fgf2	FGF2
XP_015807015.1	fibroblast growth factor 2	fgf2	FGF1
XP_015807023.1	sodium channel subunit beta-3-like isoform X1	LOC107380339	SCN3B
XP_015807024.1	sodium channel subunit beta-3-like isoform X2	LOC107380339	SCN3B
XP_015807025.1	ABC transporter F family member 4-like isoform X1	LOC107380342	SPA17
XP_015807026.1	ABC transporter F family member 4-like isoform X2	LOC107380342	CABYR
XP_015807027.1	ubiquitin-conjugating enzyme E2 D1	ube2d1	UBE2U
XP_015807027.1	ubiquitin-conjugating enzyme E2 D1	ube2d1	UBE2D2
XP_015807027.1	ubiquitin-conjugating enzyme E2 D1	ube2d1	UBE2D3
XP_015807027.1	ubiquitin-conjugating enzyme E2 D1	ube2d1	UBE2D1
XP_015807030.1	neurogranin-like isoform X4	LOC107380342	NRGN
XP_015807031.1	neurogranin-like isoform X5	LOC107380342	GAP43
XP_015807034.1	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A isoform X1	pde9a	PDE9A
XP_015807036.1	hepatocyte cell adhesion molecule-like isoform X1	LOC107380345	LY9
XP_015807036.1	hepatocyte cell adhesion molecule-like isoform X1	LOC107380345	PSG4
XP_015807037.1	hepatocyte cell adhesion molecule-like isoform X2	LOC107380345	HEPACAM
XP_015807037.1	hepatocyte cell adhesion molecule-like isoform X2	LOC107380345	CEACAM21
XP_015807038.1	hepatocyte cell adhesion molecule-like isoform X3	LOC107380345	SLAMF7
XP_015807038.1	hepatocyte cell adhesion molecule-like isoform X3	LOC107380345	SLAMF9
XP_015807038.1	hepatocyte cell adhesion molecule-like isoform X3	LOC107380345	LY9
XP_015807038.1	hepatocyte cell adhesion molecule-like isoform X3	LOC107380345	CEACAM21
XP_015807039.1	out at first protein homolog	oaf	OAF
XP_015807041.1	ankyrin repeat domain-containing protein 50	ankrd50	ANKRD50
XP_015807043.1	transmembrane protein 136	tmem136	TLCD5
XP_015807045.1	rho guanine nucleotide exchange factor 12 isoform X2	arhgef12	ARHGEF12
XP_015807049.1	rho guanine nucleotide exchange factor 12 isoform X6	arhgef12	ARHGEF12
XP_015807050.1	E3 ubiquitin-protein ligase CBL	cbl	CBLB
XP_015807050.1	E3 ubiquitin-protein ligase CBL	cbl	CBL
XP_015807053.1	cell surface glycoprotein MUC18 isoform X3	mcam	BCAM
XP_015807054.1	protocadherin Fat 4	fat4	FAT4
XP_015807054.1	protocadherin Fat 4	fat4	CDHR3
XP_015807054.1	protocadherin Fat 4	fat4	SNED1
XP_015807056.1	RING finger protein 26	rnf26	RNF26
XP_015807057.1	complement C1q tumor necrosis factor-related protein 5 isoform X1	c1qtnf5	C1QTNF5
XP_015807060.1	histone-lysine N-methyltransferase 2A isoform X2	kmt2a	KMT2A
XP_015807061.1	histone-lysine N-methyltransferase 2A isoform X3	kmt2a	KMT2A
XP_015807062.1	histone-lysine N-methyltransferase 2A isoform X4	kmt2a	KMT2A
XP_015807063.1	histone-lysine N-methyltransferase 2A isoform X5	kmt2a	ENSG00000285827
XP_015807063.1	histone-lysine N-methyltransferase 2A isoform X5	kmt2a	KMT2A
XP_015807063.1	histone-lysine N-methyltransferase 2A isoform X5	kmt2a	KMT2B
XP_015807065.1	ubiquitin conjugation factor E4 A	ube4a	UBE4A
XP_015807071.1	phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform isoform X1	phkg1	PHKG1
XP_015807072.1	phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform isoform X2	phkg1	PHKG1
XP_015807073.1	coiled-coil-helix-coiled-coil-helix domain-containing protein 2	chchd2	CHCHD2
XP_015807073.1	coiled-coil-helix-coiled-coil-helix domain-containing protein 2	chchd2	CHCHD10
XP_015807074.1	protein NipSnap homolog 2	gbas	NIPSNAP2
XP_015807075.1	phosphoserine phosphatase	psph	PSPH
XP_015807077.1	elastin-like isoform X2	LOC107380370	ELN
XP_015807078.1	elastin-like isoform X3	LOC107380370	ELN
XP_015807080.1	elastin-like isoform X5	LOC107380370	ELN
XP_015807081.1	elastin-like isoform X6	LOC107380370	ELN
XP_015807082.1	elastin-like isoform X7	LOC107380370	ELN
XP_015807083.1	LIM domain kinase 1-like isoform X1	LOC107380372	LIMK1
XP_015807084.1	LIM domain kinase 1-like isoform X2	LOC107380372	LIMK1
XP_015807088.1	septin-4-like isoform X2	LOC107380373	SEPTIN1
XP_015807088.1	septin-4-like isoform X2	LOC107380373	SEPTIN4
XP_015807089.1	septin-4-like isoform X3	LOC107380373	SEPTIN4
XP_015807090.1	septin-5-like isoform X4	LOC107380373	SEPTIN4
XP_015807091.1	max-binding protein MNT	mnt	MNT
XP_015807094.1	methyltransferase-like protein 16	mettl16	METTL16
XP_015807095.1	platelet-activating factor acetylhydrolase IB subunit alpha	pafah1b1	PAFAH1B1
XP_015807097.1	clustered mitochondria protein homolog isoform X1	cluh	CLUH
XP_015807100.1	clustered mitochondria protein homolog isoform X3	cluh	CLUH
XP_015807101.1	coiled-coil domain-containing protein 92	LOC107380381	CCDC92B
XP_015807102.1	TLC domain-containing protein 2	tlcd2	TLCD2
XP_015807109.1	pre-mRNA-processing-splicing factor 8	prpf8	PRPF8
XP_015807110.1	scavenger receptor class F member 1	scarf1	SCARF1
XP_015807111.1	sterile alpha and TIR motif-containing protein 1	sarm1	SARM1
XP_015807112.1	vitronectin-like	LOC107380389	VTN
XP_015807113.1	LOW QUALITY PROTEIN: proton-coupled folate transporter	slc46a1	SLC46A1
XP_015807114.1	rab-interacting lysosomal protein	rilp	RILP
XP_015807115.1	forkhead box protein N1	foxn1	FOXN1
XP_015807121.1	beta-crystallin A1-1-like isoform X2	LOC107380396	CRYBA1
XP_015807122.1	carboxypeptidase D	cpd	CPD
XP_015807122.1	carboxypeptidase D	cpd	CPM
XP_015807123.1	leptin receptor overlapping transcript-like 1	leprotl1	LEPROTL1
XP_015807124.1	Golgi SNAP receptor complex member 1	gosr1	GOSR1
XP_015807126.1	aryl-hydrocarbon-interacting protein-like 1 isoform X1	aipl1	AIPL1
XP_015807127.1	aryl-hydrocarbon-interacting protein-like 1 isoform X2	aipl1	AIPL1
XP_015807128.1	aryl-hydrocarbon-interacting protein-like 1 isoform X3	aipl1	AIPL1
XP_015807128.1	aryl-hydrocarbon-interacting protein-like 1 isoform X3	aipl1	AIP
XP_015807129.1	protein ABHD15-like	LOC107380403	ABHD15
XP_015807130.1	cGMP-inhibited 3',5'-cyclic phosphodiesterase A-like isoform X1	LOC107380405	PDE3A
XP_015807133.1	solute carrier organic anion transporter family member 1C1-like	LOC107380406	SLCO1A2
XP_015807133.1	solute carrier organic anion transporter family member 1C1-like	LOC107380406	SLCO1C1
XP_015807134.1	signal recognition particle subunit SRP72	srp72	SRP72
XP_015807136.1	B-cell receptor-associated protein 29	bcap29	BCAP29
XP_015807136.1	B-cell receptor-associated protein 29	bcap29	DUS4L-BCAP29
XP_015807137.1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	dus4l	DUS4L-BCAP29
XP_015807137.1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	dus4l	DUS4L
XP_015807138.1	vacuolar protein sorting-associated protein 53 homolog	vps53	VPS53
XP_015807139.1	filamin-interacting protein FAM101B	fam101b	RFLNB
XP_015807140.1	leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein	LOC107380412	LRFN3
XP_015807143.1	biogenesis of lysosome-related organelles complex 1 subunit 3 isoform X1	bloc1s3	BLOC1S3
XP_015807145.1	biogenesis of lysosome-related organelles complex 1 subunit 3 isoform X2	bloc1s3	BLOC1S3
XP_015807147.1	trafficking protein particle complex subunit 6B isoform X2	trappc6b	TRAPPC6B
XP_015807147.1	trafficking protein particle complex subunit 6B isoform X2	trappc6b	TRAPPC6A
XP_015807152.1	probable E3 ubiquitin-protein ligase HERC6	LOC107380425	HERC6
XP_015807153.1	protein YIF1B isoform X1	yif1b	YIF1B
XP_015807154.1	protein YIF1B isoform X2	yif1b	YIF1B
XP_015807155.1	ADP-ribosylation factor-like protein 9	arl9	ARL9
XP_015807156.1	protein YIF1B isoform X3	yif1b	YIF1B
XP_015807157.1	protein YIF1B isoform X4	yif1b	YIF1B
XP_015807159.1	F-BAR and double SH3 domains protein 2 isoform X1	fchsd2	FCHSD2
XP_015807160.1	F-BAR and double SH3 domains protein 2 isoform X2	fchsd2	FCHSD1
XP_015807160.1	F-BAR and double SH3 domains protein 2 isoform X2	fchsd2	FCHSD2
XP_015807161.1	P2Y purinoceptor 2	p2ry2	P2RY2
XP_015807162.1	rho guanine nucleotide exchange factor 17 isoform X1	arhgef17	ARHGEF17
XP_015807163.1	rho guanine nucleotide exchange factor 17 isoform X2	arhgef17	ARHGEF17
XP_015807165.1	tumor necrosis factor receptor superfamily member 19L	relt	RELT
XP_015807168.1	P2Y purinoceptor 6	p2ry6	P2RY6
XP_015807169.1	protein FAM168A isoform X1	fam168a	FAM168A
XP_015807170.1	protein FAM168A isoform X2	fam168a	FAM168A
XP_015807171.1	sarcolipin	sln	SLN
XP_015807172.1	alkylated DNA repair protein alkB homolog 8 isoform X1	alkbh8	ALKBH8
XP_015807173.1	alkylated DNA repair protein alkB homolog 8 isoform X2	alkbh8	ALKBH8
XP_015807174.1	CWF19-like protein 2	cwf19l2	CWF19L2
XP_015807175.1	homeodomain-only protein	hopx	HOPX
XP_015807176.1	guanylate cyclase soluble subunit alpha-2	gucy1a2	GUCY1A2
XP_015807177.1	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	aasdhppt	AASDHPPT
XP_015807184.1	glutamate receptor 4-like isoform X4	LOC107380443	GRIA4
XP_015807186.1	platelet-derived growth factor D	pdgfd	PDGFD
XP_015807187.1	cytoplasmic dynein 2 heavy chain 1	dync2h1	DYNC2H1
XP_015807189.1	frizzled-4	fzd4	FZD4
XP_015807190.1	ras-related protein Rab-38	rab38	RAB38
XP_015807190.1	ras-related protein Rab-38	rab38	RAB29
XP_015807191.1	dipeptidyl peptidase 1	ctsc	CTSC
XP_015807192.1	metabotropic glutamate receptor 5	grm5	GRM5
XP_015807193.1	NADPH oxidase 4 isoform X1	nox4	NOX4
XP_015807194.1	NADPH oxidase 4 isoform X2	nox4	NOX4
XP_015807195.1	tyrosinase	tyr	TYR
XP_015807196.1	putative N-acetylated-alpha-linked acidic dipeptidase	folh1b	NAALAD2
XP_015807196.1	putative N-acetylated-alpha-linked acidic dipeptidase	folh1b	FOLH1
XP_015807204.1	nuclear mitotic apparatus protein 1 isoform X1	numa1	NUMA1
XP_015807205.1	nuclear mitotic apparatus protein 1 isoform X2	numa1	NUMA1
XP_015807207.1	transmembrane O-methyltransferase-like	LOC107380464	TOMT
XP_015807207.1	transmembrane O-methyltransferase-like	LOC107380464	LRTOMT
XP_015807208.1	leucine-rich repeat-containing protein 51-like isoform X1	LOC107380465	LRRC51
XP_015807209.1	leucine-rich repeat-containing protein 51-like isoform X2	LOC107380465	LRRC51
XP_015807209.1	leucine-rich repeat-containing protein 51-like isoform X2	LOC107380465	LRTOMT
XP_015807209.1	leucine-rich repeat-containing protein 51-like isoform X2	LOC107380465	LRRIQ3
XP_015807210.1	protein transport protein Sec24B-like isoform X2	LOC107380458	SEC24B
XP_015807212.1	ragulator complex protein LAMTOR1 isoform X2	lamtor1	LAMTOR1
XP_015807213.1	anaphase-promoting complex subunit 15	anapc15	ANAPC15
XP_015807215.1	folate receptor beta-like	LOC107380468	FOLR1
XP_015807215.1	folate receptor beta-like	LOC107380468	IZUMO1R
XP_015807215.1	folate receptor beta-like	LOC107380468	FOLR2
XP_015807215.1	folate receptor beta-like	LOC107380468	FOLR3
XP_015807216.1	phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	inppl1	INPPL1
XP_015807217.1	paired mesoderm homeobox protein 2A	phox2a	PHOX2A
XP_015807218.1	caseinolytic peptidase B protein homolog	clpb	CLPB
XP_015807220.1	cGMP-dependent 3',5'-cyclic phosphodiesterase isoform X2	pde2a	PDE2A
XP_015807221.1	cGMP-dependent 3',5'-cyclic phosphodiesterase isoform X3	pde2a	PDE2A
XP_015807222.1	cGMP-dependent 3',5'-cyclic phosphodiesterase isoform X4	pde2a	PDE2A
XP_015807223.1	nuclear cap-binding protein subunit 1	ncbp1	NCBP1
XP_015807224.1	cullin-3	LOC107380474	CUL3
XP_015807225.1	protein FAM124B	fam124b	FAM124B
XP_015807226.1	matrix metalloproteinase-28	mmp28	MMP28
XP_015807228.1	TATA-binding protein-associated factor 2N isoform X1	taf15	TAF15
XP_015807230.1	NADPH--cytochrome P450 reductase isoform X1	LOC107380478	POR
XP_015807231.1	NADPH--cytochrome P450 reductase isoform X2	LOC107380478	POR
XP_015807234.1	glycerophosphodiester phosphodiesterase domain-containing protein 1	gdpd1	GDPD1
XP_015807235.1	protein yippee-like 2	LOC107380482	YPEL4
XP_015807235.1	protein yippee-like 2	LOC107380482	YPEL2
XP_015807235.1	protein yippee-like 2	LOC107380482	YPEL3
XP_015807238.1	huntingtin-interacting protein 1 isoform X2	hip1	HIP1
XP_015807240.1	B-cell CLL/lymphoma 7 protein family member B	bcl7b	BCL7B
XP_015807240.1	B-cell CLL/lymphoma 7 protein family member B	bcl7b	BCL7C
XP_015807241.1	tyrosine-protein kinase BAZ1B isoform X1	baz1b	BAZ1B
XP_015807243.1	thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2	tstd2	TSTD2
XP_015807244.1	frizzled-9	fzd9	FZD9
XP_015807246.1	RING-box protein 2	rnf7	RNF7
XP_015807247.1	ras GTPase-activating protein 2	rasa2	RASA2
XP_015807249.1	zinc finger and BTB domain-containing protein 38	zbtb38	ZBTB38
XP_015807251.1	E3 ubiquitin-protein ligase TRIP12 isoform X1	trip12	TRIP12
XP_015807252.1	E3 ubiquitin-protein ligase TRIP12 isoform X2	trip12	TRIP12
XP_015807253.1	E3 ubiquitin-protein ligase TRIP12 isoform X3	trip12	TRIP12
XP_015807254.1	delta and Notch-like epidermal growth factor-related receptor	dner	DNER
XP_015807255.1	major facilitator superfamily domain-containing protein 7	mfsd7	SLC49A3
XP_015807256.1	PTB-containing, cubilin and LRP1-interacting protein	pid1	PID1
XP_015807257.1	A-kinase anchor protein SPHKAP isoform X1	sphkap	AKAP3
XP_015807257.1	A-kinase anchor protein SPHKAP isoform X1	sphkap	AKAP4
XP_015807257.1	A-kinase anchor protein SPHKAP isoform X1	sphkap	SPHKAP
XP_015807259.1	dynein assembly factor with WDR repeat domains 1	daw1	WDR38
XP_015807259.1	dynein assembly factor with WDR repeat domains 1	daw1	DAW1
XP_015807259.1	dynein assembly factor with WDR repeat domains 1	daw1	WDR86
XP_015807261.1	arf-GAP domain and FG repeat-containing protein 1 isoform X1	agfg1	AGFG1
XP_015807263.1	arf-GAP domain and FG repeat-containing protein 1 isoform X3	agfg1	AGFG1
XP_015807264.1	arf-GAP domain and FG repeat-containing protein 1 isoform X4	agfg1	AGFG1
XP_015807266.1	arf-GAP domain and FG repeat-containing protein 1 isoform X6	agfg1	AGFG1
XP_015807267.1	thiamine transporter 1-like	LOC107380503	SLC19A3
XP_015807268.1	dynein assembly factor 1, axonemal-like	LOC107380504	CNTRL
XP_015807268.1	dynein assembly factor 1, axonemal-like	LOC107380504	DNAAF1
XP_015807269.1	39S ribosomal protein L44, mitochondrial	mrpl44	MRPL44
XP_015807270.1	mitochondrial fission factor isoform X1	mff	FATE1
XP_015807270.1	mitochondrial fission factor isoform X1	mff	MFF
XP_015807271.1	mitochondrial fission factor isoform X2	mff	MFF
XP_015807272.1	mitochondrial fission factor isoform X3	mff	MFF
XP_015807275.1	MDS1 and EVI1 complex locus protein EVI1 isoform X1	mecom	MECOM
XP_015807276.1	MDS1 and EVI1 complex locus protein EVI1 isoform X2	mecom	MECOM
XP_015807277.1	MDS1 and EVI1 complex locus protein EVI1 isoform X3	mecom	MECOM
XP_015807278.1	MDS1 and EVI1 complex locus protein EVI1 isoform X4	mecom	MECOM
XP_015807279.1	sodium channel subunit beta-4-like	LOC107380510	SCN4B
XP_015807280.1	sodium channel subunit beta-2	scn2b	SCN2B
XP_015807280.1	sodium channel subunit beta-2	scn2b	VSIG1
XP_015807282.1	complexin-1	cplx1	CPLX2
XP_015807282.1	complexin-1	cplx1	CPLX1
XP_015807285.1	SLIT and NTRK-like protein 3	slitrk3	SLITRK3
XP_015807287.1	sucrase-isomaltase, intestinal-like	LOC107380514	MGAM
XP_015807287.1	sucrase-isomaltase, intestinal-like	LOC107380514	MGAM2
XP_015807287.1	sucrase-isomaltase, intestinal-like	LOC107380514	SI
XP_015807289.1	neuroserpin	serpini1	SERPINI1
XP_015807289.1	neuroserpin	serpini1	SERPINI2
XP_015807293.1	WD40 repeat-containing protein SMU1	LOC107380518	SMU1
XP_015807294.1	Golgi integral membrane protein 4 isoform X1	golim4	GOLIM4
XP_015807299.1	ATP-dependent RNA helicase DDX51	ddx51	DDX51
XP_015807303.1	small integral membrane protein 8	smim8	SMIM8
XP_015807305.1	elongator complex protein 1	ikbkap	ELP1
XP_015807307.1	ventricular zone-expressed PH domain-containing protein homolog 1	veph1	VEPH1
XP_015807308.1	pentraxin-related protein PTX3	ptx3	PTX3
XP_015807309.1	cyclin-L1 isoform X1	ccnl1	CCNL2
XP_015807309.1	cyclin-L1 isoform X1	ccnl1	CCNL1
XP_015807310.1	cyclin-L1 isoform X2	ccnl1	CCNL2
XP_015807310.1	cyclin-L1 isoform X2	ccnl1	CCNL1
XP_015807314.1	GMP synthase [glutamine-hydrolyzing]	gmps	GMPS
XP_015807316.1	acetyl-coenzyme A transporter 1 isoform X1	slc33a1	SLC33A1
XP_015807316.1	acetyl-coenzyme A transporter 1 isoform X1	slc33a1	ENSG00000284952
XP_015807317.1	acetyl-coenzyme A transporter 1 isoform X2	slc33a1	SLC33A1
XP_015807319.1	ribosomal protein S6 kinase beta-1	rps6kb1	RPS6KB1
XP_015807319.1	ribosomal protein S6 kinase beta-1	rps6kb1	RPS6KB2
XP_015807319.1	ribosomal protein S6 kinase beta-1	rps6kb1	ENSG00000267318
XP_015807320.1	tubulin delta chain	tubd1	TUBD1
XP_015807323.1	vacuole membrane protein 1	vmp1	VMP1
XP_015807324.1	protein NPAT	LOC107380540	NPAT
XP_015807325.1	serine-protein kinase ATM isoform X1	atm	ATM
XP_015807326.1	serine-protein kinase ATM isoform X2	atm	ATM
XP_015807327.1	beta-secretase 2	bace2	BACE2
XP_015807330.1	peroxisome proliferator-activated receptor gamma coactivator 1-beta-like	LOC107380542	PPARGC1B
XP_015807333.1	Purkinje cell protein 4	pcp4	PCP4
XP_015807333.1	Purkinje cell protein 4	pcp4	PCP4L1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2H1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AT4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5B3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D10
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1D2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D9
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10C1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4F5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7D4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10V1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T10
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G9
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2G6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10W1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5B2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10K1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7D2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5M11
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	ENSG00000284732
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T27
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T29
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13A1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR12D3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR9Q1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T35
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13C9
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10R2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1L1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T11
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8U3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T34
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1J4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1N2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2C1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8A1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AE1
